H3_Index,Position,StartDate,EndDate,TagKey,TagValue,AreaStart_m2,AreaEnd_m2,PercentChange
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,farmland,0.0,10488704.922930159,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,residential,0.0,257941.4967846477,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,bare_rock,0.0,6291570.7579892585,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,cliff,0.0,9325.665289888542,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,heath,0.0,240380.2570371776,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,plateau,0.0,1430581.5293391962,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,ridge,0.0,39465.28926850921,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,valley,0.0,26391.135413907632,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,wood,0.0,3695748.664797657,
863f2999fffffff,N4,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,place,square,0.0,964.3949152901373,
