H3_Index,Position,StartDate,EndDate,TagKey,TagValue,AreaStart_m2,AreaEnd_m2,PercentChange
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,farmland,0.0,4665099.676320039,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,grass,0.0,43968.96285142503,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,meadow,0.0,20331.0906663779,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,landuse,residential,0.0,335051.2847173127,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,bare_rock,0.0,6291570.7579892585,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,heath,0.0,205966.42328118862,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,ridge,0.0,37245.269014287784,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,scrub,0.0,1272788.7615369041,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,valley,0.0,7167.216555891192,
863f29997ffffff,N3,2005-01-01T00:00:00Z,2025-06-30T00:00:00Z,natural,wood,0.0,74081.00898875794,
